STATION_ID,DURATION,DATE TIME,OBS DATE,STORAGE,DATA_FLAG,UNITS,INFLOW,OUTFLOW
BER,D,20010601 0000,20010601 0000,1428316,,AF,21,632
BER,D,20010602 0000,20010602 0000,1426479,,AF,-70,645
BER,D,20010603 0000,20010603 0000,1424641,,AF,-131,627
BER,D,20010604 0000,20010604 0000,1422804,,AF,-137,620
BER,D,20010605 0000,20010605 0000,1421150,,AF,-40,613
BER,D,20010606 0000,20010606 0000,1419680,,AF,33,600
BER,D,20010607 0000,20010607 0000,1418027,,AF,-72,593
BER,D,20010608 0000,20010608 0000,1416557,,AF,19,580
BER,D,20010609 0000,20010609 0000,1415087,,AF,104,593
BER,D,20010610 0000,20010610 0000,1413620,,AF,-6,572
BER,D,20010611 0000,20010611 0000,1412158,,AF,-9,566
BER,D,20010612 0000,20010612 0000,1410513,,AF,-82,579
BER,D,20010613 0000,20010613 0000,1408320,,AF,-370,568
BER,D,20010614 0000,20010614 0000,1407223,,AF,255,580
BER,D,20010615 0000,20010615 0000,1405761,,AF,27,584
BER,D,20010616 0000,20010616 0000,1404299,,AF,18,593
BER,D,20010617 0000,20010617 0000,1402106,,AF,-367,571
BER,D,20010618 0000,20010618 0000,1401558,,AF,511,596
BER,D,20010619 0000,20010619 0000,1399730,,AF,-72,635
BER,D,20010620 0000,20010620 0000,1398268,,AF,101,635
BER,D,20010621 0000,20010621 0000,1396623,,AF,9,635
BER,D,20010622 0000,20010622 0000,1394983,,AF,34,664
BER,D,20010623 0000,20010623 0000,1392984,,AF,-90,673
BER,D,20010624 0000,20010624 0000,1391349,,AF,---,644
BER,D,20010625 0000,20010625 0000,1389531,,AF,-244,619
BER,D,20010626 0000,20010626 0000,1388441,,AF,101,597
BER,D,20010627 0000,20010627 0000,1386623,,AF,-253,569
BER,D,20010628 0000,20010628 0000,1384988,,AF,-174,549
BER,D,20010629 0000,20010629 0000,1384079,,AF,199,514
BER,D,20010630 0000,20010630 0000,1382807,,AF,21,501
BER,D,20010701 0000,20010701 0000,1381898,,AF,218,495
BER,D,20010702 0000,20010702 0000,1380081,,AF,-208,538
BER,D,20010703 0000,20010703 0000,1378808,,AF,131,570
BER,D,20010704 0000,20010704 0000,1377357,,AF,37,566
BER,D,20010705 0000,20010705 0000,1375911,,AF,-45,560
BER,D,20010706 0000,20010706 0000,1374645,,AF,151,586
BER,D,20010707 0000,20010707 0000,1372657,,AF,-207,598
BER,D,20010708 0000,20010708 0000,1371211,,AF,37,591
BER,D,20010709 0000,20010709 0000,1369223,,AF,-255,589
BER,D,20010710 0000,20010710 0000,1367958,,AF,124,570
BER,D,20010711 0000,20010711 0000,1366150,,AF,-173,570
BER,D,20010712 0000,20010712 0000,1364885,,AF,89,586
BER,D,20010713 0000,20010713 0000,1363258,,AF,-90,584
BER,D,20010714 0000,20010714 0000,1361812,,AF,2,574
BER,D,20010715 0000,20010715 0000,1360185,,AF,-122,552
BER,D,20010716 0000,20010716 0000,1358565,,AF,-115,545
BER,D,20010717 0000,20010717 0000,1356947,,AF,-148,545
BER,D,20010718 0000,20010718 0000,1355869,,AF,143,551
BER,D,20010719 0000,20010719 0000,1354071,,AF,-235,536
BER,D,20010720 0000,20010720 0000,1352634,,AF,-43,530
BER,D,20010721 0000,20010721 0000,1351196,,AF,-65,520
BER,D,20010722 0000,20010722 0000,1349938,,AF,10,510
BER,D,20010723 0000,20010723 0000,1348679,,AF,60,533
BER,D,20010724 0000,20010724 0000,1347242,,AF,31,587
BER,D,20010725 0000,20010725 0000,1345444,,AF,-141,586
BER,D,20010726 0000,20010726 0000,1344006,,AF,16,562
BER,D,20010727 0000,20010727 0000,1342748,,AF,86,558
BER,D,20010728 0000,20010728 0000,1341134,,AF,-82,564
BER,D,20010729 0000,20010729 0000,1339704,,AF,-10,544
BER,D,20010730 0000,20010730 0000,1338810,,AF,258,536
BER,D,20010731 0000,20010731 0000,1336487,,AF,-444,571
BER,D,20010801 0000,20010801 0000,1335236,,AF,71,570
BER,D,20010802 0000,20010802 0000,1333806,,AF,1,552
BER,D,20010803 0000,20010803 0000,1332197,,AF,-110,531
BER,D,20010804 0000,20010804 0000,1330946,,AF,85,540
BER,D,20010805 0000,20010805 0000,1329874,,AF,127,524
BER,D,20010806 0000,20010806 0000,1328087,,AF,-249,515
BER,D,20010807 0000,20010807 0000,1326835,,AF,68,524
BER,D,20010808 0000,20010808 0000,1325584,,AF,121,549
BER,D,20010809 0000,20010809 0000,1323976,,AF,-65,560
BER,D,20010810 0000,20010810 0000,1322375,,AF,-32,573
BER,D,20010811 0000,20010811 0000,1320954,,AF,-17,557
BER,D,20010812 0000,20010812 0000,1319354,,AF,-127,538
BER,D,20010813 0000,20010813 0000,1318466,,AF,240,535
BER,D,20010814 0000,20010814 0000,1316689,,AF,-213,541
BER,D,20010815 0000,20010815 0000,1315267,,AF,-27,543
BER,D,20010816 0000,20010816 0000,1313845,,AF,-50,536
BER,D,20010817 0000,20010817 0000,1312424,,AF,-2,545
BER,D,20010818 0000,20010818 0000,1311357,,AF,181,523
BER,D,20010819 0000,20010819 0000,1309758,,AF,-149,510
BER,D,20010820 0000,20010820 0000,1308336,,AF,-85,469
BER,D,20010821 0000,20010821 0000,1306915,,AF,-144,430
BER,D,20010822 0000,20010822 0000,1305849,,AF,32,438
BER,D,20010823 0000,20010823 0000,1304436,,AF,-126,461
BER,D,20010824 0000,20010824 0000,1303376,,AF,71,491
BER,D,20010825 0000,20010825 0000,1302139,,AF,10,504
BER,D,20010826 0000,20010826 0000,1301078,,AF,96,479
